precision = 0.127659574468
index 	old *-val 	new *-val 	delta
0 	3.0 	4.0 	-1.0
1 	5.0 	4.0 	1.0
2 	3.0 	4.0 	-1.0
3 	3.0 	4.0 	-1.0
4 	5.0 	4.0 	1.0
5 	3.0 	4.0 	-1.0
6 	5.0 	4.0 	1.0
7 	1.0 	4.0 	-3.0
8 	1.0 	3.0 	-2.0
9 	4.0 	4.0 	0.0
10 	1.0 	3.0 	-2.0
11 	3.0 	4.0 	-1.0
12 	5.0 	4.0 	1.0
13 	2.0 	4.0 	-2.0
14 	4.0 	4.0 	0.0
15 	1.0 	4.0 	-3.0
16 	2.0 	4.0 	-2.0
17 	2.0 	4.0 	-2.0
18 	5.0 	4.0 	1.0
19 	1.0 	4.0 	-3.0
20 	3.0 	4.0 	-1.0
21 	4.0 	4.0 	0.0
22 	3.0 	4.0 	-1.0
23 	3.0 	3.0 	0.0
24 	5.0 	4.0 	1.0
25 	4.0 	4.0 	0.0
26 	3.0 	4.0 	-1.0
27 	5.0 	3.0 	2.0
29 	2.0 	4.0 	-2.0
30 	1.0 	3.0 	-2.0
31 	1.0 	4.0 	-3.0
32 	2.0 	4.0 	-2.0
34 	2.0 	3.0 	-1.0
35 	1.0 	4.0 	-3.0
36 	1.0 	4.0 	-3.0
37 	1.0 	4.0 	-3.0
38 	2.0 	4.0 	-2.0
39 	5.0 	4.0 	1.0
41 	4.0 	4.0 	0.0
42 	5.0 	4.0 	1.0
43 	1.0 	4.0 	-3.0
44 	3.0 	4.0 	-1.0
45 	1.0 	4.0 	-3.0
46 	5.0 	3.0 	2.0
47 	2.0 	4.0 	-2.0
48 	3.0 	4.0 	-1.0
49 	2.0 	4.0 	-2.0
