Rating Distribution
1.0 	#= 80 	%= 6.56275635767
2.0 	#= 62 	%= 5.08613617719
3.0 	#= 96 	%= 7.8753076292
4.0 	#= 224 	%= 18.3757178015
5.0 	#= 752 	%= 61.6899097621

By-Rating Analysis
( 1.0 )
# Correct Title      Polarizations:  23 	28.75 %
# Correct Text       Polarizations:  45 	56.25 %
# Correct Title/Text Polarizations:  16 	20.0 %
# Correct w.r.t. SO  Polarizations:  47 	58.75 %
Minimum Semantic Orientation      :  -4.10800522164
Maximum Semantic Orientation      :  4.32499847078
Average Semantic Orientation      :  -0.11806191259
Percantage of Good Ratings        :  56.25 %


( 2.0 )
# Correct Title      Polarizations:  20 	32.2580645161 %
# Correct Text       Polarizations:  28 	45.1612903226 %
# Correct Title/Text Polarizations:  11 	17.7419354839 %
# Correct w.r.t. SO  Polarizations:  34 	54.8387096774 %
Minimum Semantic Orientation      :  -7.89135107031
Maximum Semantic Orientation      :  0.85747362778
Average Semantic Orientation      :  -0.646424002864
Percantage of Good Ratings        :  45.1612903226 %


( 3.0 )
# Correct Title      Polarizations:  63 	65.625 %
# Correct Text       Polarizations:  55 	57.2916666667 %
# Correct Title/Text Polarizations:  39 	40.625 %
# Correct w.r.t. SO  Polarizations:  54 	56.25 %
Minimum Semantic Orientation      :  -5.30069117426
Maximum Semantic Orientation      :  1.82577891005
Average Semantic Orientation      :  -0.183704238283
Percantage of Good Ratings        :  4.16666666667 %


( 4.0 )
# Correct Title      Polarizations:  150 	66.9642857143 %
# Correct Text       Polarizations:  147 	65.625 %
# Correct Title/Text Polarizations:  91 	40.625 %
# Correct w.r.t. SO  Polarizations:  114 	50.8928571429 %
Minimum Semantic Orientation      :  -4.81854773522
Maximum Semantic Orientation      :  7.18992078279
Average Semantic Orientation      :  0.130427122314
Percantage of Good Ratings        :  65.625 %


( 5.0 )
# Correct Title      Polarizations:  570 	75.7978723404 %
# Correct Text       Polarizations:  509 	67.6861702128 %
# Correct Title/Text Polarizations:  400 	53.1914893617 %
# Correct w.r.t. SO  Polarizations:  493 	65.5585106383 %
Minimum Semantic Orientation      :  -8.19453865845
Maximum Semantic Orientation      :  9.47057572679
Average Semantic Orientation      :  0.114342450064
Percantage of Good Ratings        :  67.6861702128 %


Calculated Star Rating Success%: 60.1312551272

index 	old *-val 	new *-val 	delta
0 	2.0 	5.0 	-3.0
1 	1.0 	1.0 	0.0
2 	5.0 	1.0 	4.0
3 	2.0 	5.0 	-3.0
4 	1.0 	1.0 	0.0
5 	5.0 	1.0 	4.0
6 	5.0 	1.0 	4.0
7 	5.0 	5.0 	0.0
8 	5.0 	5.0 	0.0
9 	5.0 	5.0 	0.0
10 	1.0 	1.0 	0.0
11 	1.0 	1.0 	0.0
12 	5.0 	5.0 	0.0
13 	5.0 	5.0 	0.0
14 	5.0 	5.0 	0.0
15 	5.0 	5.0 	0.0
16 	5.0 	5.0 	0.0
17 	5.0 	5.0 	0.0
18 	5.0 	5.0 	0.0
19 	3.0 	5.0 	-2.0
20 	4.0 	1.0 	3.0
21 	5.0 	1.0 	4.0
22 	2.0 	1.0 	1.0
23 	3.0 	5.0 	-2.0
24 	5.0 	5.0 	0.0
25 	5.0 	5.0 	0.0
26 	3.0 	1.0 	2.0
27 	5.0 	5.0 	0.0
28 	5.0 	5.0 	0.0
29 	5.0 	1.0 	4.0
30 	5.0 	5.0 	0.0
31 	5.0 	5.0 	0.0
32 	5.0 	5.0 	0.0
33 	5.0 	5.0 	0.0
34 	1.0 	1.0 	0.0
35 	4.0 	5.0 	-1.0
36 	5.0 	5.0 	0.0
37 	5.0 	5.0 	0.0
38 	5.0 	5.0 	0.0
39 	5.0 	1.0 	4.0
40 	5.0 	5.0 	0.0
41 	2.0 	1.0 	1.0
42 	5.0 	5.0 	0.0
43 	5.0 	1.0 	4.0
44 	5.0 	5.0 	0.0
45 	4.0 	5.0 	-1.0
46 	1.0 	5.0 	-4.0
47 	5.0 	5.0 	0.0
48 	5.0 	5.0 	0.0
49 	5.0 	5.0 	0.0
50 	5.0 	5.0 	0.0
51 	3.0 	2.0 	1.0
52 	5.0 	5.0 	0.0
53 	5.0 	5.0 	0.0
54 	5.0 	5.0 	0.0
55 	1.0 	1.0 	0.0
56 	1.0 	5.0 	-4.0
57 	5.0 	1.0 	4.0
58 	5.0 	1.0 	4.0
59 	1.0 	1.0 	0.0
60 	1.0 	1.0 	0.0
61 	5.0 	5.0 	0.0
62 	1.0 	1.0 	0.0
63 	5.0 	5.0 	0.0
64 	1.0 	1.0 	0.0
65 	1.0 	1.0 	0.0
66 	5.0 	5.0 	0.0
67 	4.0 	1.0 	3.0
68 	5.0 	1.0 	4.0
69 	3.0 	1.0 	2.0
70 	5.0 	5.0 	0.0
71 	2.0 	1.0 	1.0
72 	5.0 	5.0 	0.0
73 	1.0 	1.0 	0.0
74 	5.0 	5.0 	0.0
75 	5.0 	5.0 	0.0
76 	2.0 	5.0 	-3.0
77 	5.0 	5.0 	0.0
78 	5.0 	5.0 	0.0
79 	3.0 	1.0 	2.0
80 	5.0 	1.0 	4.0
81 	4.0 	5.0 	-1.0
82 	5.0 	5.0 	0.0
83 	5.0 	1.0 	4.0
84 	5.0 	5.0 	0.0
85 	5.0 	5.0 	0.0
86 	5.0 	5.0 	0.0
87 	5.0 	5.0 	0.0
88 	3.0 	5.0 	-2.0
89 	5.0 	1.0 	4.0
90 	5.0 	5.0 	0.0
91 	2.0 	5.0 	-3.0
92 	5.0 	5.0 	0.0
93 	5.0 	5.0 	0.0
94 	5.0 	5.0 	0.0
95 	2.0 	5.0 	-3.0
96 	1.0 	5.0 	-4.0
97 	1.0 	1.0 	0.0
98 	5.0 	5.0 	0.0
99 	5.0 	5.0 	0.0
100 	5.0 	5.0 	0.0
101 	1.0 	1.0 	0.0
102 	5.0 	5.0 	0.0
103 	5.0 	5.0 	0.0
104 	1.0 	5.0 	-4.0
105 	4.0 	1.0 	3.0
106 	3.0 	5.0 	-2.0
107 	5.0 	1.0 	4.0
108 	5.0 	1.0 	4.0
109 	5.0 	5.0 	0.0
110 	5.0 	5.0 	0.0
111 	5.0 	5.0 	0.0
112 	1.0 	5.0 	-4.0
113 	2.0 	1.0 	1.0
114 	1.0 	5.0 	-4.0
115 	1.0 	5.0 	-4.0
116 	1.0 	1.0 	0.0
117 	5.0 	5.0 	0.0
118 	1.0 	5.0 	-4.0
119 	5.0 	5.0 	0.0
120 	5.0 	1.0 	4.0
121 	4.0 	5.0 	-1.0
122 	5.0 	5.0 	0.0
123 	1.0 	5.0 	-4.0
124 	5.0 	5.0 	0.0
125 	5.0 	5.0 	0.0
126 	5.0 	5.0 	0.0
127 	5.0 	1.0 	4.0
128 	5.0 	5.0 	0.0
129 	5.0 	1.0 	4.0
130 	5.0 	5.0 	0.0
131 	5.0 	5.0 	0.0
132 	5.0 	5.0 	0.0
133 	5.0 	5.0 	0.0
134 	5.0 	1.0 	4.0
135 	3.0 	5.0 	-2.0
